word	count	suggestion	sugg_count	first_letter	sugg_letter
shi	1	ahi	16761	s	a
sing	1	ding	14897	s	d
nong	1	jong	12530	n	j
ahun	1	chun	11233	a	c
qi	1	hi	9667	q	h
ri	1	hi	9667	r	h
ye	1	le	9121	y	l
ze	1	le	9121	z	l
-e	1	le	9121	-	l
mn	1	in	7047	m	i
hn	1	in	7047	h	i
khule	1	chule	5992	k	c
ahule	1	chule	5992	a	c
bakai	1	pakai	5373	b	p
kiche	1	hiche	5053	k	h
uhin	1	ahin	4872	u	a
'in	1	hin	3787	'	h
kinga	1	dinga	3640	k	d
qi	1	mi	3505	q	m
ri	1	mi	3505	r	m
mung	1	hung	2663	m	h
aung	1	hung	2663	a	h
jsrael	1	israel	2472	j	i
gakaiyin	1	pakaiyin	2439	g	p
nakaiyin	1	pakaiyin	2439	n	p
zeh	1	leh	2422	z	l
yah	1	tah	2366	y	t
'ah	1	tah	2366	'	t
bam	1	ham	2327	b	h
mam	1	ham	2327	m	h
zam	1	ham	2327	z	h
'in	1	tin	2324	'	t
yah	1	lah	2318	y	l
'ah	1	lah	2318	'	l
eiu	1	diu	2288	e	d
langma	1	nangma	2254	l	n
thapa	1	chapa	2153	t	c
khapa	1	chapa	2153	k	c
phapa	1	chapa	2153	p	c
cai	1	tai	2148	c	t
sou	1	lou	2148	s	l
iengpa	1	lengpa	2131	i	l
aoh	1	toh	2090	a	t
gona	1	kona	2089	g	k
nona	1	kona	2089	n	k
qi	1	ni	2042	q	n
ri	1	ni	2042	r	n
yah	1	jah	2028	y	j
'ah	1	jah	2028	'	j
eman	1	aman	2008	e	a
uman	1	aman	2008	u	a
lit	1	kit	1961	l	k
vit	1	kit	1961	v	k
dit	1	kit	1961	d	k
bit	1	kit	1961	b	k
aoh	1	soh	1724	a	s
nm	1	um	1677	n	u
hm	1	um	1677	h	u
om	1	um	1677	o	u
iheh	1	cheh	1661	i	c
kihem	1	mihem	1623	k	m
uhileh	1	ahileh	1611	u	a
bingin	1	dingin	1598	b	d
iunga	1	sunga	1570	i	s
-an	1	tan	1520	-	t
jangho	1	nangho	1488	j	n
bangho	1	nangho	1488	b	n
dangman	1	nangman	1477	d	n
mom	1	som	1434	m	s
aom	1	som	1434	a	s
lh	1	ah	1389	l	a
ph	1	ah	1389	p	a
th	1	ah	1389	t	a
ih	1	ah	1389	i	a
sing	1	jing	1384	s	j
aingu	1	dingu	1361	a	d
touhel	1	louhel	1355	t	l
jauve	1	tauve	1336	j	t
'in	1	din	1335	'	d
lhiuve	1	ahiuve	1307	l	a
bam	1	gam	1203	b	g
mam	1	gam	1203	m	g
zam	1	gam	1203	z	g
nichun	1	hichun	1169	n	h
rum	1	kum	1169	r	k
kichun	1	hichun	1169	k	h
kanga	1	banga	1113	k	b
zel	1	hel	1082	z	h
nong	1	mong	1043	n	m
teiset	1	leiset	1040	t	l
bam	1	lam	1037	b	l
mam	1	lam	1037	m	l
zam	1	lam	1037	z	l
ron	1	hon	1027	r	h
ahan	1	chan	1005	a	c
zeh	1	peh	984	z	p
zeh	1	jeh	972	z	j
hose	1	mose	952	h	m
-a	1	na	941	-	n
ea	1	na	941	e	n
mung	1	lung	940	m	l
aung	1	lung	940	a	l
etileh	1	itileh	933	e	i
vama	1	lama	909	v	l
cama	1	lama	909	c	l
'ama	1	lama	909	'	l
gia	1	tia	886	g	t
bia	1	tia	886	b	t
qi	1	ti	868	q	t
ri	1	ti	868	r	t
ron	1	kon	867	r	k
yah	1	sah	862	y	s
'ah	1	sah	862	'	s
ioi	1	koi	847	i	k
'in	1	min	845	'	m
niho	1	miho	843	n	m
gia	1	dia	808	g	d
bia	1	dia	808	b	d
lnsung	1	insung	801	l	i
aiti	1	hiti	784	a	h
vama	1	gama	784	v	g
cama	1	gama	784	c	g
'ama	1	gama	784	'	g
meni	1	teni	781	m	t
netan	1	vetan	772	n	v
hetan	1	vetan	772	h	v
letan	1	vetan	772	l	v
ihut	1	khut	768	i	k
thut	1	khut	768	t	k
ahut	1	khut	768	a	k
cai	1	lai	767	c	l
aoh	1	doh	763	a	d
'in	1	jin	726	'	j
-a	1	pa	722	-	p
ea	1	pa	722	e	p
-a	1	ma	704	-	m
ea	1	ma	704	e	m
souva	1	louva	695	s	l
bouva	1	louva	695	b	l
iunga	1	dunga	692	i	d
-a	1	la	683	-	l
ea	1	la	683	e	l
iha	1	lha	677	i	l
teiya	1	geiya	662	t	g
geiho	1	keiho	640	g	k
lol	1	bol	639	l	b
ye	1	te	624	y	t
iaiya	1	laiya	624	i	l
ze	1	te	624	z	t
-e	1	te	624	-	t
daiya	1	laiya	624	d	l
aal	1	gal	622	a	g
eal	1	gal	622	e	g
cal	1	gal	622	c	g
-a	1	ja	614	-	j
ea	1	ja	614	e	j
-an	1	dan	614	-	d
pih	1	hih	610	p	h
danghon	1	nanghon	605	d	n
aheina	1	theina	581	a	t
rat	1	pat	572	r	p
mn	1	un	567	m	u
hn	1	un	567	h	u
qi	1	li	555	q	l
ri	1	li	555	r	l
aiti	1	kiti	553	a	k
-an	1	nan	549	-	n
mung	1	nung	538	m	n
aung	1	nung	538	a	n
aun	1	mun	534	a	m
cun	1	mun	534	c	m
-un	1	mun	534	-	m
tita	1	hita	518	t	h
jita	1	hita	518	j	h
iha	1	cha	515	i	c
-an	1	van	514	-	v
mauvin	1	tauvin	511	m	t
kauvin	1	tauvin	511	k	t
kasanga	1	masanga	508	k	m
laipi	1	vaipi	507	l	v
sou	1	jou	504	s	j
rum	1	aum	498	r	a
bah-in	1	tah-in	493	b	t
mahin	1	kahin	492	m	k
gamtah	1	tamtah	478	g	t
niho	1	eiho	468	n	e
lana	1	sana	459	l	s
mikoma	1	hikoma	458	m	h
sou	1	bou	458	s	b
mihen	1	hihen	454	m	h
cai	1	pai	454	c	p
pihen	1	hihen	454	p	h
iheh	1	lheh	449	i	l
lesun	1	jesun	442	l	j
mung	1	sung	432	m	s
aung	1	sung	432	a	s
mahin	1	nahin	429	m	n
mn	1	an	428	m	a
hn	1	an	428	h	a
nichu	1	hichu	423	n	h
michu	1	hichu	423	m	h
iha	1	tha	421	i	t
uhin	1	lhin	419	u	l
houseu	1	jouseu	416	h	j
idonbut	1	adonbut	415	i	a
joma	1	koma	414	j	k
kengpan	1	lengpan	413	k	l
jengpan	1	lengpan	413	j	l
pouna	1	douna	411	p	d
nouna	1	douna	411	n	d
mung	1	dung	410	m	d
aung	1	dung	410	a	d
gampi	1	tampi	404	g	t
hau	1	nau	401	h	n
habol	1	nabol	399	h	n
ihom	1	khom	394	i	k
jsraelte	1	israelte	391	j	i
khem	1	them	389	k	t
ihem	1	them	389	i	t
nong	1	tong	384	n	t
kilou	1	hilou	381	k	h
-an	1	man	381	-	m
zeh	1	seh	376	z	s
nong	1	song	372	n	s
zeh	1	neh	370	z	n
imin	1	amin	368	i	a
lousea	1	jousea	360	l	j
kanga	1	sanga	353	k	s
uim	1	lim	344	u	l
aun	1	tun	343	a	t
cun	1	tun	343	c	t
-un	1	tun	343	-	t
'in	1	nin	335	'	n
hitepna	1	kitepna	334	h	k
nm	1	am	331	n	a
hm	1	am	331	h	a
om	1	am	331	o	a
rat	1	jat	328	r	j
ron	1	pon	326	r	p
shi	1	thi	317	s	t
kakaiya	1	pakaiya	317	k	p
deihon	1	keihon	306	d	k
seihon	1	keihon	306	s	k
bapeh	1	kapeh	304	b	k
sapeh	1	kapeh	304	s	k
mom	1	nom	301	m	n
aom	1	nom	301	a	n
zeh	1	beh	299	z	b
hongchal	1	bongchal	298	h	b
jatoh	1	natoh	298	j	n
patoh	1	natoh	298	p	n
penguvin	1	jenguvin	296	p	j
zeh	1	deh	296	z	d
pouna	1	louna	294	p	l
nouna	1	louna	294	n	l
-an	1	pan	294	-	p
ahun	1	khun	294	a	k
una	1	ana	292	u	a
rna	1	ana	292	r	a
teiya	1	keiya	292	t	k
ioi	1	poi	292	i	p
nep	1	bep	289	n	b
oiya	1	hiya	289	o	h
aiya	1	hiya	289	a	h
gasa	1	masa	285	g	m
gampi	1	lampi	281	g	l
nuna	1	muna	279	n	m
housen	1	jousen	279	h	j
ihom	1	chom	277	i	c
ansunga	1	insunga	274	a	i
qi	1	pi	270	q	p
sing	1	hing	270	s	h
ri	1	pi	270	r	p
qi	1	ji	269	q	j
yah	1	vah	269	y	v
ri	1	ji	269	r	j
lhabep	1	phabep	269	l	p
'ah	1	vah	269	'	v
gua	1	tua	265	g	t
vua	1	tua	265	v	t
nong	1	kong	265	n	k
bingin	1	jingin	260	b	j
hati	1	kati	260	h	k
sing	1	ting	260	s	t
yah	1	kah	260	y	k
'ah	1	kah	260	'	k
-an	1	jan	255	-	j
sou	1	tou	253	s	t
cai	1	mai	249	c	m
ye	1	se	247	y	s
ze	1	se	247	z	s
houve	1	pouve	247	h	p
kouve	1	pouve	247	k	p
aoh	1	joh	247	a	j
-e	1	se	247	-	s
'in	1	gin	245	'	g
imite	1	amite	243	i	a
vaiyin	1	paiyin	241	v	p
-u	1	nu	236	-	n
gih-in	1	hih-in	235	g	h
eile	1	kile	235	e	k
bih-in	1	hih-in	235	b	h
kih-in	1	hih-in	235	k	h
pile	1	kile	235	p	k
lih-in	1	hih-in	235	l	h
lile	1	kile	235	l	k
sih-in	1	hih-in	235	s	h
-a	1	sa	234	-	s
iumpoi	1	aumpoi	234	i	a
ea	1	sa	234	e	s
kanga	1	vanga	231	k	v
nong	1	long	225	n	l
-a	1	ba	224	-	b
ea	1	ba	224	e	b
habol	1	kabol	224	h	k
yah	1	nah	222	y	n
'ah	1	nah	222	'	n
tinge	1	jinge	222	t	j
thonna	1	chonna	220	t	c
lhonna	1	chonna	220	l	c
gapu	1	kapu	218	g	k
ihao	1	thao	218	i	t
zel	1	gel	217	z	g
dungin	1	sungin	216	d	s
bam	1	tam	214	b	t
jamkai	1	lamkai	214	j	l
mam	1	tam	214	m	t
zam	1	tam	214	z	t
hekha	1	lekha	213	h	l
ahan	1	lhan	213	a	l
vakol	1	sakol	211	v	s
bam	1	nam	208	b	n
mam	1	nam	208	m	n
zam	1	nam	208	z	n
sup	1	gup	207	s	g
ohel	1	khel	206	o	k
iphat	1	aphat	204	i	a
gahsa	1	tahsa	204	g	t
sipah	1	kipah	204	s	k
jahsa	1	tahsa	204	j	t
iha	1	pha	203	i	p
mumin	1	aumin	203	m	a
gia	1	nia	203	g	n
jumin	1	aumin	203	j	a
bia	1	nia	203	b	n
meuvin	1	veuvin	198	m	v
deuvin	1	veuvin	198	d	v
jeuvin	1	veuvin	198	j	v
iseipeh	1	aseipeh	198	i	a
keuvin	1	veuvin	198	k	v
'thu	1	athu	197	'	a
lol	1	dol	195	l	d
ginguva	1	dinguva	193	g	d
pesoh	1	hesoh	193	p	h
eile	1	hile	192	e	h
pile	1	hile	192	p	h
phingin	1	ahingin	192	p	a
lile	1	hile	192	l	h
pop	1	hop	190	p	h
top	1	hop	190	t	h
zeh	1	keh	189	z	k
ahun	1	lhun	189	a	l
khina	1	thina	189	k	t
sou	1	dou	188	s	d
etileh	1	atileh	187	e	a
iungset	1	lungset	187	i	l
lhe	1	che	187	l	c
sou	1	pou	187	s	p
ioi	1	loi	187	i	l
llut	1	alut	184	l	a
houpi	1	loupi	183	h	l
doupi	1	loupi	183	d	l
kanga	1	langa	182	k	l
-u	1	mu	182	-	m
luh	1	suh	182	l	s
milhum	1	nilhum	181	m	n
pheiya	1	theiya	181	p	t
egam	1	agam	181	e	a
aun	1	sun	181	a	s
cun	1	sun	181	c	s
igam	1	agam	181	i	a
-un	1	sun	181	-	s
noiyin	1	loiyin	179	n	l
jaona	1	taona	178	j	t
maona	1	taona	178	m	t
-a	1	ka	177	-	k
ea	1	ka	177	e	k
ron	1	don	177	r	d
keh-in	1	jeh-in	176	k	j
teh-in	1	jeh-in	176	t	j
khenga	1	ahenga	176	k	a
heh-in	1	jeh-in	176	h	j
ketna	1	hetna	174	k	h
haneh	1	naneh	174	h	n
itoh	1	atoh	173	i	a
kiuvin	1	jiuvin	172	k	j
iunga	1	nunga	171	i	n
'in	1	kin	170	'	k
lulpi	1	kulpi	169	l	k
bapeh	1	napeh	168	b	n
rat	1	hat	168	r	h
cai	1	nai	168	c	n
sapeh	1	napeh	168	s	n
aun	1	nun	167	a	n
ron	1	jon	167	r	j
cun	1	nun	167	c	n
aotdoh	1	potdoh	167	a	p
kiuvin	1	diuvin	167	k	d
-un	1	nun	167	-	n
aoh	1	boh	166	a	b
pie	1	jie	165	p	j
iaiya	1	maiya	164	i	m
rum	1	sum	164	r	s
daiya	1	maiya	164	d	m
balah	1	nalah	163	b	n
ioi	1	hoi	163	i	h
jinna	1	hinna	162	j	h
sinna	1	hinna	162	s	h
ahekel	1	shekel	162	a	s
binna	1	hinna	162	b	h
gasa	1	nasa	160	g	n
khua	1	thua	160	k	t
ahutan	1	thutan	160	a	t
lhutan	1	thutan	160	l	t
ahua	1	thua	160	a	t
sou	1	hou	159	s	h
aonga	1	monga	159	a	m
aal	1	jal	156	a	j
eal	1	jal	156	e	j
khutia	1	chutia	156	k	c
cal	1	jal	156	c	j
pantha	1	gantha	155	p	g
gemin	1	temin	155	g	t
jalen	1	talen	155	j	t
aal	1	kal	154	a	k
eal	1	kal	154	e	k
cal	1	kal	154	c	k
aal	1	pal	152	a	p
eal	1	pal	152	e	p
cal	1	pal	152	c	p
mongle	1	jongle	151	m	j
gapu	1	napu	150	g	n
lhiltoa	1	thiltoa	149	l	t
kanga	1	panga	148	k	p
hoiham	1	koiham	148	h	k
ltobang	1	itobang	147	l	i
etobang	1	itobang	147	e	i
otha	1	atha	146	o	a
aheh-in	1	cheh-in	146	a	c
tisat	1	kisat	145	t	k
nisat	1	kisat	145	n	k
aipin	1	mipin	145	a	m
hilen	1	milen	144	h	m
lche	1	ache	143	l	a
iche	1	ache	143	i	a
sl	1	al	143	s	a
-l	1	al	143	-	a
nungjuiyin	1	dungjuiyin	142	n	d
bbang	1	abang	142	b	a
ibang	1	abang	142	i	a
tar	1	zar	141	t	z
jar	1	zar	141	j	z
-a	1	ta	141	-	t
ea	1	ta	141	e	t
kar	1	zar	141	k	z
par	1	zar	141	p	z
teiya	1	meiya	141	t	m
sar	1	zar	141	s	z
rar	1	zar	141	r	z
ioi	1	doi	141	i	d
gaum	1	naum	139	g	n
unahi	1	anahi	139	u	a
pengu	1	tengu	138	p	t
milah	1	kilah	138	m	k
lit	1	mit	138	l	m
vit	1	mit	138	v	m
dit	1	mit	138	d	m
bit	1	mit	138	b	m
eilah	1	kilah	138	e	k
nitoh	1	kitoh	138	n	k
ikipatdoh	1	akipatdoh	137	i	a
-a	1	ga	137	-	g
ea	1	ga	137	e	g
poubuh	1	houbuh	136	p	h
lol	1	tol	136	l	t
loubuh	1	houbuh	136	l	h
zel	1	bel	136	z	b
shab	1	ahab	135	s	a
ahih	1	thih	135	a	t
vap	1	kap	134	v	k
hap	1	kap	134	h	k
ninkho	1	hinkho	134	n	h
kinkho	1	hinkho	134	k	h
map	1	kap	134	m	k
einam	1	hinam	134	e	h
pengte	1	lengte	133	p	l
miding	1	hiding	132	m	h
sola	1	tola	132	s	t
eilhah	1	nilhah	132	e	n
-u	1	tu	132	-	t
tiding	1	hiding	132	t	h
khua	1	chua	131	k	c
ahua	1	chua	131	a	c
iekhabua	1	lekhabua	130	i	l
kinga	1	jinga	130	k	j
kengle	1	tengle	130	k	t
una	1	ina	129	u	i
rna	1	ina	129	r	i
thosoh	1	lhosoh	129	t	l
teiya	1	neiya	129	t	n
lana	1	vana	129	l	v
deiyun	1	keiyun	127	d	k
kouvu	1	louvu	127	k	l
doulo	1	goulo	126	d	g
pengu	1	jengu	126	p	j
lsaac	1	isaac	124	l	i
uim	1	dim	124	u	d
teiya	1	beiya	124	t	b
kengun	1	jengun	124	k	j
bengun	1	jengun	124	b	j
pengun	1	jengun	124	p	j
lol	1	gol	123	l	g
-u	1	ju	122	-	j
rum	1	pum	121	r	p
cai	1	kai	121	c	k
gongin	1	mongin	121	g	m
gaum	1	kaum	120	g	k
dah-a	1	lah-a	120	d	l
vah-a	1	lah-a	120	v	l
neiye	1	keiye	119	n	k
kongpi	1	songpi	119	k	s
aeiye	1	keiye	119	a	k
hoimacha	1	koimacha	119	h	k
keh-in	1	peh-in	119	k	p
teh-in	1	peh-in	119	t	p
hongpi	1	songpi	119	h	s
heh-in	1	peh-in	119	h	p
jaitah	1	laitah	118	j	l
sou	1	gou	118	s	g
maitah	1	laitah	118	m	l
iha	1	kha	116	i	k
sl	1	el	116	s	e
pauva	1	nauva	116	p	n
-l	1	el	116	-	e
mangan	1	sangan	116	m	s
noulai	1	loulai	115	n	l
aumpia	1	pumpia	115	a	p
meuvin	1	leuvin	114	m	l
deuvin	1	leuvin	114	d	l
jeuvin	1	leuvin	114	j	l
nasapen	1	masapen	114	n	m
keuvin	1	leuvin	114	k	l
nong	1	bong	114	n	b
yah	1	iah	114	y	i
'ah	1	iah	114	'	i
itahsa	1	atahsa	114	i	a
cai	1	vai	113	c	v
ithoh	1	athoh	112	i	a
sapa	1	napa	112	s	n
pih	1	dih	110	p	d
veu	1	leu	110	v	l
lob	1	job	109	l	j
bob	1	job	109	b	j
ijah-uva	1	ajah-uva	109	i	a
kilou	1	gilou	109	k	g
hob	1	job	109	h	j
-a	1	da	109	-	d
ea	1	da	109	e	d
hati	1	nati	109	h	n
zel	1	kel	109	z	k
lhe	1	ohe	108	l	o
vaiyin	1	laiyin	108	v	l
samna	1	gamna	106	s	g
heihel	1	beihel	106	h	b
lit	1	nit	106	l	n
vit	1	nit	106	v	n
zel	1	del	106	z	d
dit	1	nit	106	d	n
'in	1	vin	106	'	v
heilou	1	neilou	106	h	n
bit	1	nit	106	b	n
seilou	1	neilou	106	s	n
mom	1	lom	105	m	l
tampia	1	lampia	105	t	l
-an	1	ban	105	-	b
sou	1	nou	105	s	n
aom	1	lom	105	a	l
hinu	1	jinu	105	h	j
lol	1	hol	104	l	h
mumin	1	pumin	103	m	p
ron	1	son	103	r	s
lol	1	mol	103	l	m
jumin	1	pumin	103	j	p
kelin	1	helin	103	k	h
tchom	1	achom	102	t	a
zina	1	mina	102	z	m
rat	1	sat	100	r	s
lamsa	1	gamsa	100	l	g
vamsa	1	gamsa	100	v	g
tamsa	1	gamsa	100	t	g
sapa	1	kapa	100	s	k
imna	1	umna	99	i	u
jenjong	1	kenjong	98	j	k
hatao	1	katao	98	h	k
guma	1	auma	98	g	a
iuma	1	auma	98	i	a
pala	1	jala	97	p	j
vala	1	jala	97	v	j
mala	1	jala	97	m	j
hingle	1	dingle	97	h	d
pingle	1	dingle	97	p	d
ihetdoh	1	ahetdoh	97	i	a
phetdoh	1	ahetdoh	97	p	a
gasah	1	masah	97	g	m
ikoma	1	akoma	97	i	a
kanga	1	nanga	96	k	n
thilhah	1	chilhah	96	t	c
huidoh	1	puidoh	95	h	p
iekhabu	1	lekhabu	95	i	l
rat	1	nat	94	r	n
lad	1	gad	94	l	g
vad	1	gad	94	v	g
phatma	1	khatma	94	p	k
lpijeh-inem	1	ipijeh-inem	93	l	i
icham	1	acham	93	i	a
kiuve	1	jiuve	93	k	j
uim	1	gim	93	u	g
phunguvin	1	ahunguvin	92	p	a
ilha	1	alha	92	i	a
seldoh	1	geldoh	92	s	g
rum	1	lum	92	r	l
emai	1	amai	92	e	a
