word	count	candidate	candidate_count	score
twikhanglenah	1	twikhanglena	52	0.960
atwikhanglen	1	twikhanglen	302	0.957
ahettohsahna	1	hettohsahna	67	0.957
ipi-jeh-inem	1	ipijeh-inem	93	0.957
abonchau-vin	1	abonchauvin	302	0.957
kalhinguvin	1	alhinguvin	77	0.952
thinglhanga	1	thinglhang	130	0.952
chu-tengleh	1	chutengleh	273	0.952
abonchavin	1	abonchauvin	302	0.952
ahin-seiyin	1	ahinseiyin	68	0.952
twikhanlen	1	twikhanglen	302	0.952
nahinseiyin	1	ahinseiyin	68	0.952
thingphunga	1	thingphung	77	0.952
na-lungthim	1	nalungthim	104	0.952
thing-phung	1	thingphung	77	0.952
phatchomnaa	1	phatchomna	74	0.952
melchihnan	1	melchihna	166	0.947
lhinguvin	1	alhinguvin	77	0.947
clhanglhah	1	changlhah	337	0.947
chunjongle	1	chujongle	908	0.947
choujouvin	1	chujouvin	435	0.947
chultengle	1	chutengle	463	0.947
na-pathena	1	na-pathen	210	0.947
agamsungse	1	gamsungse	68	0.947
philistin	1	philistine	298	0.947
kelengoite	1	kelngoite	59	0.947
analungset	1	nalungset	64	0.947
hichengseh	1	hichengse	153	0.947
agammsunga	1	agamsunga	105	0.947
theichanga	1	theichang	53	0.947
bethle-hem	1	bethlehem	53	0.947
chu-jongle	1	chujongle	908	0.947
qmigiloute	1	migiloute	101	0.947
mangthahna	1	manthahna	86	0.947
lungsatnaa	1	lungsatna	50	0.947
alhunguvin	1	ahunguvin	92	0.947
kaseiyuvin	1	aseiyuvin	74	0.947
ka-pathena	1	ka-pathen	141	0.947
nahunguva	1	nachunguva	87	0.947
chang-lhah	1	changlhah	337	0.947
engvaipoh	1	lengvaipoh	69	0.947
achujongle	1	chujongle	908	0.947
nahomkeova	1	ahomkeova	66	0.947
agamsungma	1	agamsunga	105	0.947
manthahnan	1	manthahna	86	0.947
hiujongleh	1	hijongleh	357	0.947
hijong-leh	1	hijongleh	357	0.947
aseijuiteu	1	aseijuite	115	0.947
akipat-doh	1	akipatdoh	137	0.947
lengpi-twi	1	lengpitwi	175	0.947
i-pathenun	1	i-pathenu	74	0.947
lungsetnaa	1	lungsetna	111	0.947
kaseitauve	1	aseitauve	68	0.947
i-pakaiyun	1	i-pakaiyu	63	0.947
nachuguva	1	nachunguva	87	0.947
ahi-vangin	1	ahivangin	812	0.947
ichonsetna	1	chonsetna	84	0.947
na-henguva	1	nahenguva	97	0.947
gim-namtui	1	gimnamtui	195	0.947
het-tohsah	1	hettohsah	145	0.947
nathilkeo	1	athilkeo	51	0.941
akikhopna	1	kikhopna	230	0.941
mechihna	1	melchihna	166	0.941
kahinkhol	1	kahinkho	58	0.941
paikaiyin	1	pakaiyin	2439	0.941
bongchala	1	bongchal	298	0.941
phunguvin	1	hunguvin	53	0.941
hichegse	1	hichengse	153	0.941
lamkaihoa	1	lamkaiho	63	0.941
ikipatdoh	1	kipatdoh	72	0.941
israelteo	1	israelte	391	0.941
hinjongle	1	hijongle	559	0.941
gamsungma	1	gamsunga	869	0.941
benajamin	1	benjamin	193	0.941
kahilhone	1	ahilhone	98	0.941
ikihahsel	1	kihahsel	66	0.941
thilouvin	1	hilouvin	80	0.941
nachungma	1	nachunga	130	0.941
lamkaipau	1	lamkaipa	146	0.941
kabonchan	1	abonchan	639	0.941
kachilhah	1	achilhah	67	0.941
ipathenu	1	i-pathenu	74	0.941
hichense	1	hichengse	153	0.941
achonnset	1	achonset	110	0.941
killhaina	1	kilhaina	255	0.941
achi-lhah	1	achilhah	67	0.941
jeng-uvin	1	jenguvin	296	0.941
athil-keo	1	athilkeo	51	0.941
gacheuvin	1	acheuvin	70	0.941
galhingin	1	alhingin	178	0.941
