Vocabulary	Count
verse	31102
chu	25976
a	19193
ahi	16761
ding	14897
jong	12530
chun	11233
hi	9667
le	9121
in	7047
ho	6422
chule	5992
khat	5531
pakai	5373
hiche	5053
ahin	4872
ama	4814
jouse	3816
hin	3787
jeng	3718
dinga	3640
ati	3544
mi	3505
pathen	3403
amaho	3018
thu	2917
ahung	2803
keiman	2777
chuin	2734
hung	2663
keima	2540
israel	2472
pakaiyin	2439
leh	2422
mite	2385
lang	2368
tah	2366
ham	2327
tin	2324
lah	2318
diu	2288
pericope	2277
chunga	2274
nangma	2254
chapa	2153
tai	2148
lou	2148
lengpa	2131
hijeh	2112
toh	2090
kona	2089
ni	2042
uvin	2033
jah	2028
aman	2008
kit	1961
nang	1944
henga	1904
thei	1838
ajeh	1764
thil	1731
soh	1724
khopi	1691
um	1677
cheh	1661
ahitai	1652
mihem	1623
ahiye	1619
phat	1617
ahileh	1611
uva	1600
dingin	1598
sunga	1570
konin	1551
tan	1520
nangho	1488
nangman	1477
pang	1439
som	1434
hen	1405
david	1396
ah	1389
ijeh-inem	1384
jing	1384
dingu	1361
louhel	1355
chengse	1347
jengin	1338
tauve	1336
din	1335
ahiuve	1307
vang	1216
chate	1216
gam	1203
lut	1182
hichun	1169
kum	1169
aseiye	1126
ajah	1114
banga	1113
hitin	1112
bang	1096
amahon	1086
hel	1082
mong	1043
leiset	1040
lam	1037
hon	1027
chan	1005
aseiyin	995
-	988
peh	984
jeh	972
judah	964
mose	952
thilto	950
na	941
lung	940
itileh	933
chang	932
bangin	925
lama	909
ipi	909
chujongle	908
leng	898
tei	892
tia	886
sang	885
gamsunga	869
ti	868
kon	867
sah	862
koi	847
vo	847
kei	847
min	845
miho	843
pathenin	835
hitobang	830
chung	820
ahivangin	812
mipi	811
jerusalem	811
dia	808
itile	807
insung	801
egypt	796
hiti	784
gama	784
teni	781
vetan	772
khut	768
lai	767
nikho	763
doh	763
ahile	761
n	749
khu	738
jesu	735
cheng	727
jin	726
pa	722
houin	716
ma	704
ahiuvin	703
nga	701
tobang	701
louva	695
dunga	692
kitipa	691
la	683
phung	682
abol	678
lha	677
hichea	665
geiya	662
mang	661
sagi	658
keiho	640
abonchan	639
bol	639
geiyin	636
te	624
laiya	624
gal	622
numei	618
dan	614
ja	614
hih	610
asei	605
teng	605
nanghon	605
gamsung	596
kelngoi	592
nahi	588
nangin	585
theina	581
lhon	576
pat	572
kahi	570
lhah	569
un	567
ahinla	564
christa	564
pen	562
khoa	562
khopia	562
thum	561
hijongle	559
hicheng	557
twi	555
li	555
kiti	553
nan	549
u	546
chapate	543
aboncha	540
kho	539
thusei	539
nung	538
mun	534
lhonin	533
pasal	533
saul	530
hita	518
ahibouve	516
cha	515
van	514
namtin	514
tauvin	511
masanga	508
vaipi	507
jou	504
aum	498
tah-in	493
kahin	492
akhut	491
angsunga	489
jenga	480
tamtah	478
chutoh	476
jacob	474
dang	468
eiho	468
chuphat	468
chuti	465
e	465
chutengle	463
maicham	461
lhagao	460
sana	459
o	459
hikoma	458
bou	458
thing	456
hihen	454
anei	454
pai	454
lheh	449
jesun	442
chujouvin	435
solomon	433
nei	433
sung	432
