Vocabulary	Count
'	22
'ah	1
'ahasu-e'rus	1
'ama	1
'chua	1
'hiche	2
'houhil'in	1
'ibol'a	1
'in	1
'judahte	1
'keima	2
'keiman	1
'kichon	1
'koi	1
'koiham	1
'lengpan	1
'mithi	1
'nachonsetna	1
'nang	1
'nangma	1
'nanu	1
'pakaiyin	1
'themgao	2
'thu	1
'tua	1
'tun	1
'uvin	1
'ven	2
'vo	1
-	988
-a	1
-ah	2
-an	1
-asaph	1
-baz	1
-chu	1
-e	1
-e-a	1
-em	1
-eseth	1
-in	8
-ioth	1
-itileh	1
-kigahna	1
-l	1
-moth	1
-nah	1
-rem	1
-u	1
-un	1
-uva	1
-uve	2
-uvin	2
-zar	1
a	19193
a-ah	3
a-ahkhomit	1
a-ahpeh-in	1
a-ahsi	1
a-al	3
a-an	6
a-ang	8
a-anga	4
a-angah	9
a-angjang	1
a-angjanga	1
a-angsung	4
a-angsunga	24
a-angsunguva	3
a-anguva	3
a-ankong	4
a-ankonga	1
a-anneh	2
a-ao	2
a-aocheh	1
a-aojah	2
a-aole	1
a-aosan	1
a-aosot	7
a-aovuvin	1
a-ap	1
a-apsa	1
a-at	15
a-ath	2
a-athjong	1
a-atji	1
a-atpa	1
a-atpan	1
a-atphat	1
a-attel	1
a-az	9
a-cha	1
a-chan	1
a-chapa	20
a-chapan	2
a-chapatah	1
a-chele	1
a-chemang	1
a-chemjam	1
a-chetauvin	1
a-christa	3
a-chung	1
a-chunga	1
a-chutile	1
a-danga	1
a-eh	11
a-ehjouse	1
a-ehlo	1
a-ehsah	1
a-el	19
a-el'a	1
a-elbai	2
a-em	1
a-emlai	1
a-eng	3
a-engdumin	1
a-engkal	1
a-engkalna	1
a-engse	1
a-engsea	1
a-engsil	1
a-eo	1
a-eojah	4
a-eojahjenguve	1
a-huhdoh	1
a-hungdohtan	1
a-hungin	2
a-iah	2
a-ihdoh	1
a-ihmu	3
a-ihmut	3
a-ihmutai	1
a-ihmuttah	1
a-ilam	1
a-imatih	12
a-in	23
a-ina	4
a-inkoteu	1
a-inmun	1
a-inneipa	1
a-inneipite	1
